"firstID","secondID","HomePlanet","HomePlanetEarth","HomePlanetEuropa","HomePlanetMars","CryoSleep","CryoSleepFalse","CryoSleepTrue","deck","deckA","deckB","deckC","deckD","deckE","deckF","deckG","deckT","num","sideP","sideS","sideTrashCompactor","Destination","Destination55.Cancri.e","DestinationPSO.J318.5.22","DestinationTRAPPIST.1e","Age","VIP","VIPFalse","VIPTrue","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","firstnamelength","lastnamelength","hadRSFALSE","hadRSTRUE","hadFCFALSE","hadFCTRUE","hadSPAFALSE","hadSPATRUE","hadMALLFALSE","hadMALLTRUE","hadVRFALSE","hadVRTRUE","is_homeless.False","is_homeless.True","Transported"
20,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,29,0,1,0,0,0,0,0,0,6,11,1,0,1,0,1,0,0,1,1,0,1,0,"False"
20,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,10,0,1,0,0,0,0,0,0,6,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
20,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,10,0,1,1,0,1,0,1,0,1,0,1,0,"False"
20,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,0,1,0,0,0,0,0,0,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"False"
22,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,21,0,1,0,980,2,69,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"False"
24,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,62,0,1,0,0,0,0,0,0,6,8,1,0,1,0,1,0,0,1,1,0,1,0,"True"
25,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,15,0,1,0,0,225,0,998,0,6,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
26,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,34,0,1,0,22,6073,0,1438,328,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,1,43,0,1,0,1125,0,136,48,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
30,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,32,0,1,0,0,850,81,437,453,5,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
31,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,1,47,0,1,0,214,0,1411,0,1229,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
31,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
31,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,1,20,0,1,0,0,0,1750,990,0,6,5,0,1,1,0,1,0,1,0,1,0,1,0,"True"
34,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,28,0,1,0,0,0,0,0,0,4,10,1,0,1,0,1,0,1,0,1,0,1,0,"True"
35,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,23,0,1,0,784,964,0,951,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
36,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,1,0,0,15,1,0,0,0,492,48,20,401,6,7,1,0,1,0,1,0,1,0,1,0,1,0,"False"
38,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,1,0,0,20,0,1,0,554,195,0,2606,0,5,7,1,0,1,0,1,0,1,0,1,0,1,0,"False"
39,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,30,0,1,0,0,0,0,0,0,6,10,1,0,1,0,1,0,0,1,1,0,1,0,"False"
41,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,17,0,1,0,0,0,0,0,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0,"True"
43,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,45,0,1,0,0,164,45,2511,855,7,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
44,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,55,0,1,0,0,0,0,0,0,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"False"
44,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
44,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,21,0,1,0,0,0,0,0,0,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,1,21,0,1,0,970,0,180,0,64,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
45,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,1,0,0,1,0,0,0,19,0,1,0,0,0,0,0,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
50,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,35,0,1,0,790,0,0,0,0,4,6,1,0,1,0,0,1,1,0,1,0,1,0,"False"
51,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,56,0,1,0,0,112,0,1379,127,5,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
52,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,1,28.8279304674654,0,1,0,4,0,2,4683,0,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
53,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,0,1,25,0,1,0,0,0,1938,0,1,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
56,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
56,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,38,0,1,0,0,0,0,0,0,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
56,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,27,0,1,0,279,605,3374,286,3,7,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
58,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,1,0,36,0,1,0,0,0,0,0,0,5,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
61,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,1,0,0,0,0,1,22,0,1,0,45,1096,148,1377,1,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
62,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,1,62,0,1,0,0,592,0,17,25,6,7,1,0,1,0,1,0,1,0,1,0,1,0,"False"
64,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,0,1,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"True"
64,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,33,0,1,0,0,0,0,0,0,6,4,1,0,1,0,1,0,0,1,1,0,1,0,"True"
66,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,62,0,1,0,1,153,197,0,460,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
67,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
67,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,1,18,0,1,0,1,258,446,0,0,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
67,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,1,0,0,21,0,1,0,1946,37,0,0,24,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
68,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,28.8279304674654,0,1,0,793,0,2,253,0,5,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
69,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,1,42,0,1,0,887,0,9,6,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"True"
70,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,0,1,19,0,1,0,190,0,5,1,726,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
71,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,1,17,0,1,0,16,2165,0,0,52,5,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
72,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,1,0,0,0,0,1,14,0,1,0,0,1,0,0,1063,5,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
73,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,37,0,1,0,46,83,738,0,12,4,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
74,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,42,0,1,0,1,8397,0,0,506,7,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
76,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,18,0,1,0,0,0,0,1,27,0,1,0,147,0,1018,0,0,4,3,1,0,1,0,1,0,1,0,1,0,1,0,"True"
77,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,15,1,0,0,0,0,0,1,28,0,1,0,14,0,1295,0,0,3,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
78,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,1,38,0,1,0,0,5840,0,321,9654,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
81,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,1,13,0,1,0,0,0,0,0,0,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
82,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,1,42,0,1,0,7406,0,0,0,0,5,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
82,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
82,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"True"
84,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0,1,0,0,0,0,1,24,0,1,0,688,0,0,0,17,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"True"
85,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,1,40,0,1,0,0,0,0,0,0,7,10,1,0,1,0,1,0,1,0,1,0,1,0,"True"
86,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,1,43,0,1,0,211,0,0,638,513,5,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
88,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,1,0,45,0,1,0,0,0,0,0,0,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
90,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0,1,35,0,1,0,0,0,0,0,0,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
91,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0,1,0,0,0,0,1,26,0,1,0,0,0,0,0,0,6,8,0,1,1,0,1,0,1,0,1,0,1,0,"True"
91,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,1,0,0,0,0,1,27,0,1,0,1,697,31,188,0,5,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
92,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,1,19,0,1,0,0,0,670,1,34,5,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
92,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,6,1,0,1,0,1,0,0,1,1,0,1,0,"True"
92,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,5,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
97,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,54,0,1,0,0,1208,0,3,637,7,7,1,0,1,0,1,0,1,0,1,0,1,0,"False"
98,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,1,26,0,1,0,0,856,5,32,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
98,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,1,26,0,1,0,0,2811,957,0,87,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
99,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,1,0,0,0,0,1,0,23,0,1,0,311,427,526,37,0,5,11,1,0,1,0,1,0,1,0,1,0,1,0,"False"
99,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
101,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,31,0,1,0,0,0,0,0,0,4,4,1,0,1,0,1,0,1,0,1,0,0,1,"True"
102,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,1,18,0,1,0,0,0,0,830,91,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
103,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,24,0,1,0,0,0,0,1,24,0,1,0,0,0,0,0,17,5,8,1,0,0,1,1,0,1,0,1,0,1,0,"True"
103,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,0,1,0,0,1,0,0,9,0,1,0,0,0,0,0,0,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"True"
103,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,0,1,0,0,0,0,1,6,0,1,0,0,0,0,0,0,5,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
105,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,1,0,0,0,0,0,1,27,0,1,0,0,0,570,2,131,5,10,1,0,1,0,1,0,1,0,1,0,1,0,"False"
107,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,21,0,1,0,1743,5,17,0,0,6,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
108,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19,0,1,0,0,0,0,1,23,0,1,0,0,0,0,0,0,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
108,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,0,1,0,0,0,0,1,31,0,1,0,562,0,326,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"False"
108,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
110,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,32,0,1,0,0,410,6,3929,764,7,9,1,0,1,0,1,0,1,0,1,0,0,1,"False"
110,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,40,0,1,0,0,331,0,0,1687,6,8,1,0,1,0,1,0,1,0,1,0,1,0,"False"
110,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,42,0,1,0,2209,11418,0,1868,445,7,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
110,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,28,0,1,0,0,0,0,0,0,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
111,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,1,29,0,1,0,0,0,0,0,0,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
112,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,48,0,0,1,0,2537,87,17,13,4,7,1,0,1,0,1,0,1,0,1,0,1,0,"True"
113,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,1,0,0,0,0,0,1,64,0,1,0,0,0,804,0,0,5,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
114,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20,0,1,0,0,0,0,1,27,0,1,0,82,157,429,238,1,5,9,1,0,1,0,1,0,1,0,1,0,1,0,"False"
115,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,24,1,0,0,0,0,0,1,26,0,1,0,0,0,0,0,0,4,4,1,0,1,0,1,0,1,0,0,1,1,0,"True"
116,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,33,0,1,0,1,2223,0,12,404,7,7,1,0,1,0,1,0,1,0,1,0,1,0,"True"
119,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,0,1,0,0,2344,0,65,6898,5,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
119,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,7,6,1,0,1,0,1,0,1,0,1,0,1,0,"True"
120,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,25,1,0,0,0,0,0,1,24,0,1,0,0,0,0,0,0,4,5,1,0,1,0,1,0,1,0,0,1,1,0,"True"
122,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,0,1,0,0,0,0,1,29,0,1,0,0,0,0,699,74,6,6,1,0,1,0,1,0,1,0,1,0,1,0,"False"
123,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27,1,0,0,0,0,0,1,18,0,1,0,55,597,49,0,1,4,7,1,0,1,0,1,0,1,0,1,0,1,0,"False"
126,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27,0,1,0,0,0,0,1,67,0,1,0,0,0,0,0,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,"True"
127,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,1,35,0,1,0,701,0,296,0,25,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
128,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,61,0,0,1,2353,334,9,316,2,5,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
128,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,1,45,0,1,0,2103,6,0,0,0,6,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
129,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,0,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,4,6,1,0,1,0,1,0,0,1,1,0,1,0,"True"
133,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29,0,1,0,0,0,0,1,19,0,1,0,0,0,0,0,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,"True"
133,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,1,36,0,1,0,2738,0,0,0,0,6,4,1,0,1,0,1,0,1,0,1,0,1,0,"False"
134,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,1,0,0,0,0,0,1,19,0,1,0,0,14,730,0,0,6,9,1,0,1,0,1,0,1,0,1,0,1,0,"True"
136,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23,0,1,0,0,0,1,0,47,0,1,0,97,418,126,25,55,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"False"
138,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,1,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,6,5,1,0,1,0,1,0,1,0,1,0,1,0,"True"
138,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,0,34,0,1,0,0,22,0,564,207,5,5,1,0,1,0,1,0,1,0,1,0,1,0,"False"
